PID,PROLIFIC_PID,title,organisation,description,years,experience,division,ONET,ONET_13_text,ONET_14_text,ONET_15_text,TaskRank_1,TaskRank_2,TaskRank_3,TaskRank_4,TaskRank_5,TaskRank_6,TaskRank_7,TaskRank_8,TaskRank_9,TaskRank_10,TaskRank_11,TaskRank_12,TaskRank_13,TaskRank_14,TaskRank_15,NumberHours_1,NumberHours_2,NumberHours_3,NumberHours_4,NumberHours_5,NumberHours_6,NumberHours_7,NumberHours_8,NumberHours_9,NumberHours_10,NumberHours_11,NumberHours_12,NumberHours_13,NumberHours_14,NumberHours_15,TaskPhysical_1,TaskPhysical_2,TaskPhysical_3,TaskPhysical_4,TaskPhysical_5,TaskPhysical_6,TaskPhysical_7,TaskPhysical_8,TaskPhysical_9,TaskPhysical_10,TaskPhysical_11,TaskPhysical_12,TaskPhysical_13,TaskPhysical_14,TaskPhysical_15,TaskSocial_1,TaskSocial_2,TaskSocial_3,TaskSocial_4,TaskSocial_5,TaskSocial_6,TaskSocial_7,TaskSocial_8,TaskSocial_9,TaskSocial_10,TaskSocial_11,TaskSocial_12,TaskSocial_13,TaskSocial_14,TaskSocial_15,pilot1_1,pilot1_2,pilot1_3,pilot2,TaskOpen_1,RobotSelect_1,RobotTune_1_1,RobotTune_1_2,RobotTune_1_3,RobotTune_1_4,RobotTune_1_5,RobotTune_1_6,RobotTune_1_7,RobotTune_1_8,RobotTune_1_9,RobotTune_1_10,RobotTune_1_11,RobotTune_1_12,RobotTune_1_13,RobotTune_1_14,RobotTune_1_15,RobotTune_1_16,RobotTune_1_17,TaskOpen_2,RobotSelect_2,RobotTune_2_1,RobotTune_2_2,RobotTune_2_3,RobotTune_2_4,RobotTune_2_5,RobotTune_2_6,RobotTune_2_7,RobotTune_2_8,RobotTune_2_9,RobotTune_2_10,RobotTune_2_11,RobotTune_2_12,RobotTune_2_13,RobotTune_2_14,RobotTune_2_15,RobotTune_2_16,RobotTune_2_17,TaskOpen_3,RobotSelect_3,RobotTune_3_1,RobotTune_3_2,RobotTune_3_3,RobotTune_3_4,RobotTune_3_5,RobotTune_3_6,RobotTune_3_7,RobotTune_3_8,RobotTune_3_9,RobotTune_3_10,RobotTune_3_11,RobotTune_3_12,RobotTune_3_13,RobotTune_3_14,RobotTune_3_15,RobotTune_3_16,RobotTune_3_17,TaskOpen_4,RobotSelect_4,RobotTune_4_1,RobotTune_4_2,RobotTune_4_3,RobotTune_4_4,RobotTune_4_5,RobotTune_4_6,RobotTune_4_7,RobotTune_4_8,RobotTune_4_9,RobotTune_4_10,RobotTune_4_11,RobotTune_4_12,RobotTune_4_13,RobotTune_4_14,RobotTune_4_15,RobotTune_4_16,RobotTune_4_17,TaskOpen_5,RobotSelect_5,RobotTune_5_1,RobotTune_5_2,RobotTune_5_3,RobotTune_5_4,RobotTune_5_5,RobotTune_5_6,RobotTune_5_7,RobotTune_5_8,RobotTune_5_9,RobotTune_5_10,RobotTune_5_11,RobotTune_5_12,RobotTune_5_13,RobotTune_5_14,RobotTune_5_15,RobotTune_5_16,RobotTune_5_17,TaskOpen_6,RobotSelect_6,RobotTune_6_1,RobotTune_6_2,RobotTune_6_3,RobotTune_6_4,RobotTune_6_5,RobotTune_6_6,RobotTune_6_7,RobotTune_6_8,RobotTune_6_9,RobotTune_6_10,RobotTune_6_11,RobotTune_6_12,RobotTune_6_13,RobotTune_6_14,RobotTune_6_15,RobotTune_6_16,RobotTune_6_17,TaskOpen_7,RobotSelect_7,RobotTune_7_1,RobotTune_7_2,RobotTune_7_3,RobotTune_7_4,RobotTune_7_5,RobotTune_7_6,RobotTune_7_7,RobotTune_7_8,RobotTune_7_9,RobotTune_7_10,RobotTune_7_11,RobotTune_7_12,RobotTune_7_13,RobotTune_7_14,RobotTune_7_15,RobotTune_7_16,RobotTune_7_17,TaskOpen_8,RobotSelect_8,RobotTune_8_1,RobotTune_8_2,RobotTune_8_3,RobotTune_8_4,RobotTune_8_5,RobotTune_8_6,RobotTune_8_7,RobotTune_8_8,RobotTune_8_9,RobotTune_8_10,RobotTune_8_11,RobotTune_8_12,RobotTune_8_13,RobotTune_8_14,RobotTune_8_15,RobotTune_8_16,RobotTune_8_17,TaskOpen_9,RobotSelect_9,RobotTune_9_1,RobotTune_9_2,RobotTune_9_3,RobotTune_9_4,RobotTune_9_5,RobotTune_9_6,RobotTune_9_7,RobotTune_9_8,RobotTune_9_9,RobotTune_9_10,RobotTune_9_11,RobotTune_9_12,RobotTune_9_13,RobotTune_9_14,RobotTune_9_15,RobotTune_9_16,RobotTune_9_17,TaskOpen_10,RobotSelect_10,RobotTune_10_1,RobotTune_10_2,RobotTune_10_3,RobotTune_10_4,RobotTune_10_5,RobotTune_10_6,RobotTune_10_7,RobotTune_10_8,RobotTune_10_9,RobotTune_10_10,RobotTune_10_11,RobotTune_10_12,RobotTune_10_13,RobotTune_10_14,RobotTune_10_15,RobotTune_10_16,RobotTune_10_17,TaskOpen_11,RobotSelect_11,RobotTune_11_1,RobotTune_11_2,RobotTune_11_3,RobotTune_11_4,RobotTune_11_5,RobotTune_11_6,RobotTune_11_7,RobotTune_11_8,RobotTune_11_9,RobotTune_11_10,RobotTune_11_11,RobotTune_11_12,RobotTune_11_13,RobotTune_11_14,RobotTune_11_15,RobotTune_11_16,RobotTune_11_17,TaskOpen_12,RobotSelect_12,RobotTune_12_1,RobotTune_12_2,RobotTune_12_3,RobotTune_12_4,RobotTune_12_5,RobotTune_12_6,RobotTune_12_7,RobotTune_12_8,RobotTune_12_9,RobotTune_12_10,RobotTune_12_11,RobotTune_12_12,RobotTune_12_13,RobotTune_12_14,RobotTune_12_15,RobotTune_12_16,RobotTune_12_17,TaskOpen_13,RobotSelect_13,RobotTune_13_1,RobotTune_13_2,RobotTune_13_3,RobotTune_13_4,RobotTune_13_5,RobotTune_13_6,RobotTune_13_7,RobotTune_13_8,RobotTune_13_9,RobotTune_13_10,RobotTune_13_11,RobotTune_13_12,RobotTune_13_13,RobotTune_13_14,RobotTune_13_15,RobotTune_13_16,RobotTune_13_17,TaskOpen_14,RobotSelect_14,RobotTune_14_1,RobotTune_14_2,RobotTune_14_3,RobotTune_14_4,RobotTune_14_5,RobotTune_14_6,RobotTune_14_7,RobotTune_14_8,RobotTune_14_9,RobotTune_14_10,RobotTune_14_11,RobotTune_14_12,RobotTune_14_13,RobotTune_14_14,RobotTune_14_15,RobotTune_14_16,RobotTune_14_17,TaskOpen_15,RobotSelect_15,RobotTune_15_1,RobotTune_15_2,RobotTune_15_3,RobotTune_15_4,RobotTune_15_5,RobotTune_15_6,RobotTune_15_7,RobotTune_15_8,RobotTune_15_9,RobotTune_15_10,RobotTune_15_11,RobotTune_15_12,RobotTune_15_13,RobotTune_15_14,RobotTune_15_15,RobotTune_15_16,RobotTune_15_17,pilot3_1,pilot3_2,pilot3_3,pilot4,positive_before,positive_after,worried_before,worried_after,purpose,familiarisation_1,familiarisation_2,familiarisation_3,familiarisation_4,familiarisation_5,familiarisation_6
R_8NDEbOqUzSKMqMX,5993260f4f3a820001fb39a7,process team leader,trt,"Work in the aviation parts repair industry, I am in charge of a small team that does menial tasks",5,5,1,"6,7,9,10,11",,,,,,,,,3,4,,5,2,1,,,,,,,,,,6,6,,5,4,18,,,,,,,,,,6,30,,5,5,14,,,,,,,,,,5,6,,45,55,33,,,,,100,99,60,all fine so far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planning how to get the days work done in the time allocated,"2,4,5,8,10",,12,,12,12,,,28,,36,,,,,,,,getting on with the job,"1,3,4,14,17",15,,29,20,,,,,,,,,,28,,,8,,,,,,,,,,,,,,,,,,,,listening to my boss and communicating with the team as to what is required that day and in what order,"2,5,11,15,17",,18,,,22,,,,,,28,,,,20,,12,getting on with workmates to get the best out of them,"8,11,14,15,17",,,,,,,,15,,,30,,,20,15,,20,On job training for the newer staff,"1,5,6,9,11",10,,,,20,15,,,26,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,89,51,All fine thanks,50,50,0,1,how people perceive their job and tasks at hand,2,1,3,1,1,1
R_2pG93h4gxkuE9TU,6599643febd11bae8858cc8a,Station operative ,Train station,Station operator at train station in london,10,10,1,"1,5,6,7,9",,,,2,,,,4,3,5,,1,,,,,,,5,,,,2,3,20,,10,,,,,,,4,,,,2,2,100,,10,,,,,,,90,,,,40,5,100,,21,,,,,,,100,100,89,"It's good, well rounded",Looking things up for customers and asking the right questions ,"2,8,13,15,17",,50,,,,,,5,,,,,5,,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deciding what to do next considering time limits and restraints, and working events that occur into this ","2,7,8,14,15",,10,,,,,10,50,,,,,,10,20,,,the job is physical and requires you to be at places at a certain time constantly ,"4,5,7,8,15",,,,30,30,,15,20,,,,,,,5,,,Physical labour such as walking and using station equiptment to dispatch trains,"6,8,12,14,16",,,,,,20,,10,,,,10,,30,,30,,,,,,,,,,,,,,,,,,,,,Talking to customers and talking amongst colleagues ,"1,5,9,10,17",30,,,,15,,,,5,10,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,100,80,,100,100,11,11,How to train a robot to do jobs / what skills are needed to perform at work,1,1,1,2,3,1
R_2sYcdOeGyPxLkzf,5c446608f8b8560001e7c54c,Pilot,Airline ,Fly aircraft,3,18,1,"1,5,6,9,11",,,,3,,,,2,4,,,1,,5,,,,,20,,,,30,10,,,30,,10,,,,,19,,,,20,21,,,20,,19,,,,,51,,,,52,51,,,69,,49,,,,,78,68,49,None ,What the weather is doing,"3,10,14,16,17",,,20,,,,,,,20,,,,20,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Changing the process depending on events ,"2,5,6,14,17",,20,,,20,20,,,,,,,,20,,,20,Getting things done at the appropriate time ,"2,3,5,8,17",,20,20,,20,,,20,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaying information between groups of people effectively ,"1,5,8,13,17",20,,,,20,,,20,,,,,10,,,,30,,,,,,,,,,,,,,,,,,,,Teaching best practices ,"1,4,5,13,17",20,,,20,20,,,,,,,,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,70,77,None ,72,72,21,20,Human skills,1,3,1,1,1,1
R_3CEdKlpjQA6rhds,664e21d29d1e2067c8d41f08,Letter Carrier,Canada Post,"Delivering mail, parcels, and flyers for the crown corporation Canada Post.",26,30,1,"5,6,7,9,13",sortation and preparation ,,,,,,,4,2,3,,5,,,,1,,,,,,,5,5,15,,5,,,,10,,,,,,,10,20,75,,0,,,,60,,,,,,,30,10,5,,80,,,,30,,,85,100,70,so far the questions seem to be geared more towards office work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deciding which is the most efficient order in which to deliver parcels based on the number and location of the deliveries ,"1,4,5,8,16",5,,,10,30,,,30,,,,,,,,25,,assessing the amount of mail and parcels that need to be delivered that day and organizing my day so that I can complete all required tasks in 8 hours,"2,4,5,7,16",,40,,25,15,,10,,,,,,,,,10,,"using equipment to prepare my mail and parcels, sorting mail, preparing mail for delivery, driving to my walk, carrying mail and parcels for delivery.","3,4,7,8,16",,,30,25,,,15,20,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,speaking with other team members to find out how many parcels and other personal contact items I have for my walk,"2,4,7,8,17",,10,,20,,,10,25,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taking the mail and sorting it into the correct order for delivery and the taking that mail and preparing it to be delivered in the correct order.,"1,3,4,8,16",20,,30,10,,,,10,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,90,85,"better instructions on how to include any physical aspects of a job such as walking long distances, using stairs, or even driving.",70,70,20,30,determining the different skill sets needed to perform different functions of my job and how important each of them are in accomplishing certain tasks.,2,1,3,1,1,1
R_8BfcpMADzErHYJz,65ca24858bf6730c50291738,Operations manager ,QVC,Operations manager in the distribution of goods out,4,6,1,"3,5,8,9,11",,,,,,1,,3,,,4,2,,5,,,,,,,25,,8,,,25,15,,4,,,,,,,10,,20,,,30,13,,80,,,,,,,15,,60,,,70,100,,100,,,,,100,100,80,Easy to do so far ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I have to keep analysing data throughout the day every to make sure targets are being met, what stock is coming and performances are being met by every single subordinate.","2,5,8,10,13",,30,,,30,,,20,,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,"If a problem arises then you either have to try and solve that problem, or come up with an alternative solution which best suits the situation.","5,8,11,15,17",,,,,15,,,30,,,25,,,,10,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To check up on numbers and seeing if tasks are being completed efficiently. Using zoom to have meetings. Sending and replying to emails.,"2,4,6,8,17",,25,,20,,5,,30,,,,,,,,,20,Having to talk with subordinates about task issues or performances and relaying any information needed for any certain day. Talking with other departments about what needs doing and what we need to keep communicating about throughout the day. Keeping higher managers informed about the numbers and hitting targets.,"2,5,7,8,10",,20,,,20,,10,30,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,Going round the department making sure subordinates are doing their tasks correctly and that they are doing it well. Having to have meetings with subordinates to discuss performance or any other matters. Train new employees or existing employees if and when needed.,"3,9,10,11,17",,,30,,,,,,10,10,30,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,90,90,It was a bit too long for the compensation you get for it.,70,70,75,80,Finding out what tasks people need to do to perform their job and the level of ability needed to do those jobs. ,1,1,1,1,1,1
R_1XvuuutmXcnsgDf,63c0b8e25159ad47312132ac,Skilled laborer,Construction Company,"I address machinery issues, operate machines for my department, train new employees on how to operate new machines and coordinate with my co-workers to ensure projects are done successfully.",10,25,1,"4,7,9,10,11",,,,,,,1,,,5,,2,3,4,,,,,,,,5,,,18,,5,3,4,,,,,,,,69,,,96,,73,73,74,,,,,,,,50,,,12,,95,96,94,,,,,89,90,93,No comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generating novel thoughts and suggestions when there is a task at hand.,"3,5,8,9,17",,,20,,20,,,20,20,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I operate machines and use my hand to design buildings.,"3,6,7,8,14",,,20,,,30,10,10,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,"Interacting with others concerning tasks, conflict resolutions, helping others, and solving problems on the job ","10,13,15,16,17",,,,,,,,,,20,,,20,,20,20,20,Trying to get to know others beyond work.,"7,12,13,16,17",,,,,,,20,,,,,10,10,,,20,40,Training new employees to take on tasks at work.,"2,6,8,11,17",,20,,,,10,,20,,,10,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,93,98,It should be stated from the beginning the study contains writing tasks.,75,95,21,4,I thought it was about the abilities individuals possess in their jobs.,1,1,3,1,2,1
R_3qg7ERK8Q3qd8Z6,56f1d53bf2df32000b8f3748,Produce Team Receiver,Whole Foods,"I work in the produce department, my main job role involves breaking down our deliveries (4x a week) and managing the back room, ensuring things are date coded, organized, etc. I work for Whole Foods, obviously a major chain grocer in the United States with high standards for quality. In general, I work in grocery retail, and I have for most of my career.",0,14,1,"2,5,7,9,12",,,,,5,,,2,,4,,3,,,1,,,,,5,,,10,,36,,28,,,8,,,,,0,,,10,,100,,0,,,5,,,,,5,,,70,,0,,100,,,25,,,,100,60,75,Seems straightforward enough so far. Maybe a little too general for my specific job but that is understandable.,,,,,,,,,,,,,,,,,,,,"This is related to the previous one. I literally have to judge the quality of product we receive. Whether it is fresh, damaged on delivery, if it should be returned or credited, whether it is fit for consumption, etc.","3,5,10,12,17",,,20,,20,,,,,50,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Every day involves deliveries that come from a warehouse. They are not consistent in how the pallets themselves are built, and so I have to manage the product and the backroom in a way that allows me room to move about while also being able to deconstruct the deliveries and properly warehouse them.","6,14,15,16,17",,,,,,50,,,,,,,,10,10,25,5,,,,,,,,,,,,,,,,,,,,"I move boxes a lot, and stack them according to size and product type, etc. I use tools like pallet jacks and the pallets themselves, which I also have to lift once they are emptied. I physically grab product in order to stock it if necessary, and every product comes in boxes which must be lifted and transported in some way.","2,3,7,10,16",,20,30,,,,10,,,10,,,,,,30,,,,,,,,,,,,,,,,,,,,,"I have to communicate information to the team about how I have organized things, what products we received, where things are to go on the sales floor, etc. I also communicate between people in the department, depending on the situation (i.e. notable information I give to management, communication from management that I receive for clerks)","1,2,4,15,17",10,10,,10,,,,,,,,,,,10,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The product that I break down and warehouse has to be labelled in certain ways. I also keep track of what was receive vs. what was billed, discrepancies where I see them, product quality, etc.","1,2,3,10,12",10,30,15,,,,,,,40,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,60,100,"Seemed to be pretty straightforward, if a bit dry.",10,10,20,20,"It seemed like a judgement of how I perceive my own work, and how I would communicate ""how"" I work to others.",2,1,1,1,1,1
R_2XjYvAE6GtBMnLz,5a775b638fe2dc00010579b2,qc lead supervisor,oakland international ,Looking after the quality inspection of fresh goods coming in and the completed food boxes that are going out to customers.,5,5,1,"6,7,8,9,12",,,,,,,,,1,3,5,2,,,4,,,,,,,,,20,15,15,15,,,10,,,,,,,,,28,75,35,26,,,36,,,,,,,,,54,60,38,82,,,54,,,,89,91,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,making sure we know when things are planned to come in to arrange the correct staffing levels at all times,"2,5,8,14,16",,20,,,20,,,20,,,,,,20,,20,,using pieces of equipment to check the size of ingredients that are coming in.,"3,4,10,13,14",,,10,30,,,,,,20,,,20,20,,,,updating all documents on line to make sure we have records of all inbound and outbound ,"3,5,6,8,17",,,30,,20,20,,20,,,,,,,,,10,having meetings with others when planning the week ahead,"3,7,8,14,17",,,20,,,,20,30,,,,,,5,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recording all important information from all ingredients that come in for tracability,"1,2,3,6,17",20,25,15,,,20,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,90,75,all good,79,80,18,19,see how people percive there jobs,1,3,1,2,1,3
R_2E0rSO2Y99LNqc5,665cc3df1329066906fba1ad,HGV Driver,Bidfood,"I am a HGV Driver, i work for bidfood within the transport and logistics industry",1,3,1,"5,6,7,9,10",,,,,,,,3,4,1,,2,5,,,,,,,,,,2,10,30,,2,2,,,,,,,,,,100,100,100,,0,0,,,,,,,,,,0,2,0,,100,100,,,,,,100,100,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is making sure you are choosing the most efficinet thing for the role ,"4,8,9,13,17",,,,10,,,,10,20,,,,10,,,,50,Organising my time means sorting drops in order to save time and deliver products efficiently and accurately,"2,5,7,8,14",,10,,,60,,5,5,,,,,,20,,,,In this task is the physical act of making deliveries and sorting drops,"2,11,14,15,17",,20,,,,,,,,,30,,,20,10,,20,,,,,,,,,,,,,,,,,,,,Communicating with others is just ensuring that there is communication if something goes weong,"3,5,7,14,15",,,8,,40,,10,,,,,,,12,30,,,This is developing relationsjops with customers in order to create satisfaction,"4,8,12,15,16",,,,20,,,,20,,,,20,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,100,100,0,0,Its understanding a job role and using it to give chracteristics to a robot,2,1,3,1,3,1
R_3j6dqnJ76PMj3K0,66708c3d9418ec5491c5483e,locomotive engineer,CNR,"Driving trains, servicing customers",1,6,1,"1,5,6,7,9",,,,5,,,,1,3,4,,2,,,,,,,20,,,,25,5,35,,40,,,,,,,18,,,,19,19,92,,43,,,,,,,76,,,,75,58,39,,96,,,,,,,89,89,100,No feedback,Receiving paperwork reporting the work to be done in the day ahead,"5,7,8,11,15",,,,,10,,30,50,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deciding what the most effective way to service a customer is,"3,7,14,15,17",,,20,,,,15,,,,,,,10,50,,5,"Deadlines need to be met within a window of time, ensuring that happens takes a lot of planning","3,6,9,14,16",,,20,,,40,,,5,,,,,15,,20,,Physical movements required to drive the train,"6,7,12,14,16",,,,,,10,20,,,,,10,,20,,40,,,,,,,,,,,,,,,,,,,,,Communication with RTC and other movements to ensure safe passage,"7,8,15,16,17",,,,,,,10,10,,,,,,,15,5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,86,83,na,87,87,23,23,How people see their own times when broken down,2,1,3,1,1,1
